Intent,Final Resolution,
Wrong_Chart_fields,"FI$Cal does not allows changing the chartfields of a PO for when payments have been made. However, you can create a new PO for the remainder of the encumbrance with the desired chartfield values and close the previous PO to release the encumbrance. ",
Max_Rows_Copied_from_Requisition,"Ensure the 'Max Rows' value is set on the Copy from Requisition Page when creating the PO. By default it set to 20, but you can change it to the desired value.",
Category_Vs_Account,"The category code field on PO page is for UNSPC category codes. The value that you are entering in this field may be an ""Account Code"" value, Enter the UNSPC category value in the field on PO age and the ""Account Code"" value in chartfields page. ",
SCO_denied_P-Card_Voucher,"Attaching an invoice or receipt to P-Card statements are explained in P-Card FAQ# 42 - ""SCO Audit denied my P-Card voucher ID because the incorrect invoice/receipt had been attached. How do I correct this?"" found at this link:

http://www.fiscal.ca.gov/faqs/HowToFAQs.html",
Unable_to_change_chartfields_on_a_P-Card_statement,The chartfields that get carried over from the PO ID when PO ID is linked to P-Card transaction are not editable on the P-Card transaction. Any chartfield changes will need to be done on the PO ID and re-linked to the P-Card transaction again.,
Need_to_correct_the_incorrect_chartfields_on_closed_P-Card_statement,"Editing the Chart of Accounts (COAs) chartfields on closed P-Card transactions needs to be done on the associated P-Card voucher ID in the Accounts Payable module by your Accounting Office. Once the P-Card transactions are vouchered, the Reconcile Statement page fields are locked for editing (you may delete or add new attachments). ",
Dispute_P-Card_transaction_,"The US Bank dispute process remains the same. For detailed steps, refer to FAQ #45 - ""How do I dispute my P-Card transaction in FI$Cal?"" found at this link:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
Review_Dispute_P-Card_transaction_,"The US Bank dispute process remains the same. For detailed steps regarding the review of disputed transactions, refer to FAQ #46 - ""How do I review my disputed P-Card transactions in FI$Cal? found at this link:

http://fiscal.ca.gov/faqs/",
Receive_credit_for_Dispute_transaction,"Disputed P-Card transactions will be offset by the associated credit P-Card transaction as long as the Department P-Card Reconciler and/or actual Cardholder reconciles both transactions and get both approved on the same day so both will be vouchered into one voucher ID. If there is any difference between the total disputed charge and credit amount, only the difference will be paid to US Bank.

NOTE: NEVER reconcile the disputed and credit transactions separately because this can potentially create a zero or negative amount voucher. This zero or negative amount voucher ID will not be picked up by the SCO Pay Cycle and will require additional work from the Accounting staff.

For detailed steps on receiving credit for disputed transactions, refer to FAQ# 47 - ""I received my credit for the disputed P-Card transaction. What is my next step?"" using this link:

http://fiscal.ca.gov/faqs/",
Verify_whether_the_credit_has_collected_on_disputed_P-Card_transaction,"For detailed steps on how to verify whether the credit has been collected on disputed P-Card transaction, refer to FAQ #49 - ""How do I verify that my credit has been marked as collected on my disputed P-Card transaction?"" found at this link:

http://www.fiscal.ca.gov/faqs/",
Copy_same_set_of_chartfield_strings_to_multiple_P-Card_statements," The steps to copy same chartfield information on all P-Card transactions are found in the User ""How To"" Frequently Asked Questions (FAQs) #50, ""What is the Distribution Template hyperlink on the Reconcile Statement page for?"" found at this link:

http://www.fiscal.ca.gov/faqs/",
Steps_to_be_taken_in_system_for_P-Card_transactions_paid_using_SCO_paper_claim_process,"The next steps after paying for a P-Card transaction using the SCO paper claim process are:

1. Dept. P-Card Reconciler/actual cardholder will need to follow the P-Card reconciliation process in FI$Cal explained in Job Aid, ""P-Card Transaction Reconciliation Process in FI$Cal"" found at this link:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html

2. Accounting staff will need to delete the newly system-generated voucher ID for the corresponding P-Card transactions that was just approved and vouchered. (Be sure to enter comments for deleting the system-generated P-Card voucher ID).
3. Accounting staff will need to record the payment made outside of FI$Cal (P-Card expenditure) in AP using the 2nd AP User ID.",
Steps_to_be_taken_in_system_for_P-Card_transactions_paid_using_Fiscal_ORF_process,"The next steps after paying for a P-Card transaction using ORF are:

1. Dept. P-Card Reconciler or cardholder will need to follow the P-Card reconciliation process in FI$Cal explained in the Job Aid, ""P-Card Transaction Reconciliation Process in FI$Cal"" found at this link:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html

2. The system will automatically apply the prepaid payment from the ORF against the newly system-generated P-Card voucher and pay US Bank the difference if other P-Card transactions were on the same voucher ID.

NOTE: If there is a credit (negative) voucher line on the system-generated P-Card voucher ID, then the system will not replenish the outstanding Prepaid ORF voucher. The system will only apply the prepaid payment when there is no credit (negative) voucher line.",
Vouchers_associated_with_P-Card_statement,"Finding Voucher IDs for P-Card transactions is explained in the Job Aid, ""Where can I find the voucher ID for my closed P-Card transactions?"" found at this link:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
ENY_for_P-Card_transactions_for_prior_Fiscal_Year,"If the P-Card transaction date was dated in the prior FY, then your ENY should be the prior year. The budget period in your P-Card transactions would have been the prior budget period.

NOTE: All P-Card transactions dated from June 23rd to June 30th of every year will be loaded on the July statement. July statement will occur in the first accounting month of the current FY.
",
Budget_Check_failing_for_P-Card_statements_created_in_June,"There are a of couple reasons why your P-Card transactions are failing budget check:

1. The ENY entered is from the current FY. User will need to enter the current year for ENY and re-run budget check process again.
2. Required COAs may be missing when reconciling. The required COAs on the P-Card transactions are as listed below:
• Approp Reference
• Fund
• ENY
• Account/Alt Account
• Program
• Reporting Structure (Required if your department is setup for reporting structure at the transactional level)",
Adding_new_suppliers_in_Fiscal_by_departments,"Department Vendor Processor (DVP) instructions for submitting a request to add a supplier record to the FI$Cal Vendor Management File (VMF) can be found in the Job Aid, ""Adding a Supplier Record"" found at this link:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
Adding_new_Employee_suppliers_in_Fiscal_by_departments,"The process of how creating an employee supplier can be found in the Job Aid, ""Creating an Employee Supplier"" found at this link:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
Updating_suppliers_in_Fiscal_by_departments,"Department Vendor Processors (DVP)can be updated by completing the Supplier Update Request Form (SURF). More information can be found in the Job Aid, ""Completing the Supplier Update Request Form"" found at this link:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
Payee_Data_Record_(STD_204)_,"A Payee Data Record (STD 204) is required for each vendor conducting business with or receiving payment from the State of California. With the new statewide System, FI$Cal will now be responsible for centrally maintaining these documents. Therefore, to ensure FI$Cal has the most current and accurate information, we are requesting vendors provide a new STD 204. POs, contract documents, and payments cannot be generated for suppliers without a STD 204 on file.The STD 204 form is also a required form to correctly establish the eligible suppliers for 1099 reporting in FI$CAL.",
Location_of_Payee_Data_Record_(STD_204)_,"The Payee Data Record Form (STD 204) is an Office of State Publishing (OSP) Standard (STD) form and can be found on the DGS website found at this link:

http://www.dgs.ca.gov/ofam/Forms.aspx",
Submit_STD_204,Suppliers can mail or hand deliver a hard copy to the departments/agencies that they conduct business with. The agencies will securely forward the form to FI$CAL Vendor Management Group (VMG). Note:Please do not email the STD 204 form which may contain confidential information. Using a regular email is not a safe way to attach and send the STD 204. ,
STD_204_review_by_Fiscal,"All submitted STD 204s will be transferred to FI$CAL by the departments, who reviewed and requested FI$CAL Vendor Management Group to either add a new supplier or verify the existing supplier data for necessary updates. This will help cleanse and normalize the data resulting in unique supplier records. 

The name and Taxpayer Identification Number (TIN) on the STD 204 will be validated with the Federal Internal Revenue Service (IRS). NOTE: A TIN is either a Federal Employer Identification Number (FEIN) or a Social Security Number (SSN). If the IRS TIN validation process results in any discrepancies, FI$Cal will contact the department and the supplier.",
Change_information_after_submission_of_STD204,"Supplier will submit an updated STD 204 to the departments/agencies that they conduct business with, and request that they update the supplier record in FI$Cal. ",
Cancelling_and_closing_a_PO,"Cancelling a PO ID can only be done to a PO ID where receiving, voucher and/or payment have not been issued against the PO ID.

Closing a PO ID must be done where receiving, voucher and/or payment have already been issued against the PO ID. The system will not allow the PO Buyer to cancel if a Receipt, Voucher, and Payment ID have already been created against the PO ID.
",
STD_204_submittal_information,"Will businesses and suppliers have access to chatbot in peoplesoft? this appears to be advice for suppliers, not state staff. Prior to submission, review your STD 204 for completeness and required signature.

The Payee's name must match the Taxpayer Identification Number (relevant Federal Employer Identification Number or Social Security Number) as filed with the Federal Internal Revenue Service.

If you are a business that has one or more DBA (“Doing Business As”) Name(s) and they all share the same TIN, you may submit one STD 204. Specify the parent company and list all of the associated DBAs and their addresses. Include a separate page if necessary.
Example: ABC Inc. DBA John’s Auto Parts, 123 Main St, Anywhere, CA 12345

If you are an organization that has multiple TINs for the same company, you must submit a STD 204 for each unique TIN.

For all STD 204 submittals, list any additional addresses on a separate page. Include:
 The location’s description (for example, Headquarters, Accounting, etc.) and
 The complete address (Street or PO Box, City, State, Zip Code 

FI$Cal also has the ability to send electronic POs from all FI$Cal Departments, If you prefer to receive electronic POs, please specify each applicable location, location’s description, address, and email. 

The signature must be handwritten and not imprinted with a manufactured device (for example, a rubber stamp or scripted software font, etc.). Since scanned electronic versions of the STD 204 are being accepted, for State auditing purposes you must be able to produce the original paper STD 204 with your original signature if it is ever requested in the future.

Incomplete or invalid STD 204s will not be accepted.

Please note that the STD 204 submission process may change as different Project events occur. 
 
Recommend Removing this topic until it is reviewed further.",
Reports_for_Purchasing,"The link below provides a list of reports for Requisition, P-Card, Receipts, Sourcing, and Procurement contracts available in the system:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
Reports_for_Procurement_Contracts,"The link below provides a list of reports for Requisition, P-Card, Receipts, Sourcing, and Procurement contracts available in the system:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
Reports_for_Sourcing,"The link below provides a list of reports for Requisition, P-Card, Receipts, Sourcing, and Procurement contracts available in the system:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
Reports_for_Suppliers,"Reports available for suppliers in the system can be found in ""PO Reports Within the FI$Cal System"" Job Aid found using this link:
 
http://fiscal.ca.gov/access-fiscal/documents/FISCal.080-POReportsWithintheFISCalSystem4.0.xlsx",
Report_for_Match_Exception,The match exception report can be executed by navigating to eProcurement > Reports > Match Exceptions,
Steps_for_Fleet_Asset_Purchases,"Creating a PO for fleet asset purchases is explained in the Job Aid, ""Buyers Guide to Fleet Asset Purchases"" found using this link:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
Classifying_Items_as_Assets_on_PO_and_Requisitions,"Marking a PO item as an asset is explained in the Job Aid, ""Correcly Classifying Items As Assets in FI$Cal"" found using this link:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
How_to_create_an_encumbrance_only_PO,"An Encumbrance Only PO used to encumber funds for a non-procurement related transactions is explained in the Job Aid, ""Create an Encumbrance Only Purchase Order 7.0."" found using this link:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
PO_disposition_details_report,"Instructions on how to generate a PO Disposition Details report for a specific business unit within a defined timeframe can be found using this link:

http://fiscal.ca.gov/access-fiscal/documents/FISCal.291PODispositionDetailsReport1.0.docx",
Inserting_Department_of_General_Services_(DGS)_terms_and_conditions_on_POs_(PO).,"FAQ #1 in the Procurement FAQ documernt provides Department Buyers and Department PO Processors the instructions for inserting Department of General Services (DGS) terms and condition language on POs. Procurement FAQs can be found using this link:

http://www.fiscal.ca.gov/faqs/HowToFAQs.html",
Send_PO_hard_copy_to_State_Controller’s_Office_(SCO),"With the implementation of FI$Cal, SCO no longer requires hard copies of Pos for those departments transacting in the system. However, SCO does require the electronic PDF copy of the FI$Cal PO ID to be attached to the associated Voucher ID.",
Supplier_not_found,"If you are not able to locate your Supplier in FI$Cal, then someone in your department who has the Department Vendor Processor role will need to add this Supplier. You will need the STD 204 to add the Supplier into FI$Cal.  Once the Supplier is added, system will route Supplier to the VMF Group at FI$Cal for approval.  Once Supplier is approved, you will be able to create your PO ID at that time.",
User_Support_Lab,"To setup a User Support Lab session fill out the USL Request form and submit it to the FI$Cal Service Center. The form can be found using this link:

http://www.fiscal.ca.gov/resources/documents/OSSOUSLform09-17.pdf",
University_of_FI$Cal_Access,"University of FI$Cal access is granted to all non-procurement only users who are transacting in FI$Cal. If you are having difficulty accessing the University of FI$Cal, raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or via ServiceNow for further assistance.",
Password_Reset,"Users can reset their passwords for the “Forgot your password” link that appears after a user enters their username on the password section of the log in. If you are still having trouble logging into FI$Cal, raise a ticket with the Fiscal Service Center.",
University_of_FI$Cal_Password_Reset,"To reset your password for the University of FI$Cal use this link:

https://fiscal.netdimensions.com/ekp/servlet/resetpassword",
Department_Designee_Definition,"A Department Authority or Designee (DAD) is an authorized individual who has the ability to request roles, add/delete user accounts and  appoint/remove DADs.",
Department_Designee_Contacts,"Please contact the FI$Cal Service Center to receive a list of Authorized DADs: 
Phone: 1-855-FISCAL0 (1-855-347-2250)
Email: fiscalservicecenter@fiscal.ca.gov
Regular Service Hours:
7:30 AM – 5:30 PM (Pacific Time)
M-F (Except State Holidays)
",
Updating_Roles_in_Fiscal,"To add, update, or remove roles in FI$Cal a request form must be submitted to the Fiscal Service Center by a Department Designee with the requested changes. Alternatively, roles can also be requested by Department Authorities or Designees though their Identity Self Service (ISS) Portal found at this link:

https://sso.iam.fiscal.ca.gov/identity/",
Identity_Self_Service_Ticket_Progress.,"Progress of an Identity Self Service (ISS) ticket can be tracked through the ISS website. More information can be found at this link:

http://www.fiscal.ca.gov/access-fiscal/ISSJobAids.html",
FI$Cal_Access,"Requests for access to FI$Cal must come from the Departmental Authority/Designee (DAD). The form for this can be found at this link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/EndUserAccessForms.html",
Ticket_Escalation,"If more than a week has passed without any contact about your ticket you can contact the Fiscal Service Center to request an escalation.  Note that access related tickets take on average two weeks to resolve. The FI$Cal Service Center provides assistance Monday through Friday from 7:30 a.m. — 5:30 p.m., Pacific Time (except on State Holidays)

Phone: (855) FISCAL0 (347-2250) (Toll Free)
fiscalservicecenter@fiscal.ca.gov",
DGS_OTAs,The DGS-One Time Acquisition (OTA) approvers are configured in the system for all business units because they will be conducting and approving procurement transactions in the system when the departments do not have delegated authority or purchases are above the department’s delegated purchasing authority.,
1099_Assistance,"Please contact the FI$Cal Service Center: 
Phone: 1-855-FISCAL0 (1-855-347-2250)
Email: fiscalservicecenter@fiscal.ca.gov
Regular Service Hours:
7:30 AM – 5:30 PM (Pacific Time)
M-F (Except State Holidays)
",
SFTP_Access,"Requests for access to SFTP must come from the Departmental Authority/Designee (DAD). The form for this can be found at this link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/EndUserAccessForms.html",
CMR_Assignment_Group,A CMR form is processed by moduleteam in which the configuration modification will take place.,
CMR_Approval,"A CMR form must be signed by both, the department requestor and approver. Please refer to the ownership matrix for a list of authorized individuals:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/documents/ConfigurationOwnershipMatrix_Revised_20160311.pdf",
CMR_Definition,"A CMR is a Configuration Modification Request. This is used to request changes to the FI$Cal production environment such as an address change for a supplier. The form along with instructions can be found under the Configuration Modification Requests section of the following link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/index.html",
DGS_Billing_Codes,Billing codes are handled by DGS. Please reach out to DGS at the following email address: SRFFiscalServices@dgs.ca.gov,
Temporary_Passwords,"The temporary password provided to you may only be used once. You will be automatically prompted to update your password on a subsequent page as you complete your FI$Cal account profile. More information on temporary passwords can be found in the Accessing FI$Cal Job Aid at this link:

http://www.fiscal.ca.gov/access-fiscal/job_aids.html",
Disabled_FI$Cal_Account,"An account can get disabled for one of the following reasons:
1.	Password needs to be reset.
2.	A request was sent to the Fiscal Service Center to have the account disabled.
3.	User has not logged in for more than 180 days.

",
Creating_a_Screenshot,"First make sure you are in the area you want to screenshot. Go to the start menu and type ""Snipping tool,""  select the relevant area and save image. ",
Removing_email_address_from_distribution_list.,To remove your email address for the distribution list you must first log into FI$Cal. From there select Main Menu > My System Profile. On your profile page there should be a checkbox with the label Email User. Simply uncheck this box and you should stop receiving notifications.,
Resolved/Closed_Tickets,Your ticket may have been resolved/closed for any of the following reasons: your request has been fulfilled and requires no further action; a lack of response after three contact attempts (awaiting user info state/evidence); or after receiving your confirmation the issue is resolved. ,
Awaiting_Evidence_State.,"Awaiting Evidence means that the request has been fufilled as per the analyst; however, we require your confirmation that the issue is resolved before closing the incident. ",
Awaiting_User_Info_State.,"Awaiting User Info means that the analyst working on your ticket has sent you a request for additonal information, which is required in order to fulfill/solve your request in a timely manner.",
Awaiting_Third_Party_Action_State.,Awaiting Third Party Action means that FI$Cal requires input from one of our vendors before fulfilling/resolving the incident.,
Viewing_Tickets,"To view submitted incidents, please click on the ""Access FSC"" link located top-right of the the main screen of the FI$Cal application after logging in and before clicking on the ""PeopleSoft"" Link.",
Roles_Not_Working,For issues with roles raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or via ServiceNow with a detailed description of the issue you are experiencing. ,
Removing_Roles_in_Fiscal,"Submit the respective access form to remove the user from the FI$Cal system. In addition, make sure to transfer any relevant employee transactions to another departmental user, for example, any PO's associated to the buyer's number. Please contact the FSC for further information: Email: fiscalservicecenter@fiscal.ca.gov
Phone:  855-347-2250",
Definition_of_a_BU,"BU stands for Business Unit and is defined as an organizational unit with a balanced set of books that is used to segregate GL reports and processing. Access to the use of Business Units can be controlled with security configuration. FI$Cal Business Units will be defined as the Organization Codes to which Departmental appropriations are made. Currently, each department has one BU assigned to it.",
Submitting_a_Ticket,"Please submit a detailed explanation of the issue, steps to take to recreate the issue, relevant screenshots, and your BU. In addition, identifying information such as voucher ID's, PO Numbers, transaction numbers, User ID, setc. should be provided when submitting an incident through the Self-Service Portal or email. ",
Department_Becoming_FI$Cal_users.,"Contact the Change Management Office in order to verify if your entity is eligible to transact in FI$Cal: 
Email: FISCal.cmo@fiscal.ca.gov
Client Communications: (916) 576-1250",
Clearing_Internet_History,"Follow the instructions to clear the cache and cookies:

•	For Internet Explorer: press Alt+X to open your browser’s settings. Select Internet Options. Under “Browsing History”, click on “Delete…” and check “cookies and website data”. Finally, click on “Delete”.

•	For Google Chrome: Press Ctrl+Shift+Delete on your keyboard. Check “Cookies and other site data” as well as “Cached images and files”. Finally, click “Clear Data”

•	For Mozilla Firefox: Press Ctrl+Shift+Delete on your keyboard. Select time range. Check Cookies and Cache. Finally, click “Clear Now”.",
Webex_Session_Request,"Once a ticket has been generated and a Service Technician has reached out to you, you may make a request with that technician for a Webex Session.",
Webex_Session_Setup,Webex is an internet based meeting. There is nothing that needs to be set up prior to the meeting. Once a technician sets up a meeting you will receive an email with the instructions and links necessary to join the meeting.,
Advantage_System,FI$Cal is not responsible for the Advantage system. Any questions related to Advantage should be directed to your local IT department.,
Readiness_Coordinator,"Call or email the Change Management Office for the name and contact information of your department's readiness coordinator:

Email: fiscal.cmo@fiscal.ca.gov
Client Communications: (916) 576-1250",
Retention_Coordinator,"Please call or email the Change Management Office for the name and contact information of your department's retention coordinator:
Email: fiscal.cmo@fiscal.ca.gov
Client Communications: (916) 576-1250
",
Secondary_ID_Requirements,"Secondary ID’s are identified at the department level. You will need a unique email address for this ID and a MARF needs to be submitted to the Fiscal Service Center for this request. More information can be found in the Access FAQs at this link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/documents/User_Access_Request_FAQs_Feb_2016.pdf",
Secondary_ID_Definition,"Secondary ID’s are for users who need conflicting roles. The system does not allow for people to have certain roles combined under one user ID. An example of this would include someone who needs both a Processor and Approver role. More information can be found in the Access FAQs at this link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/documents/User_Access_Request_FAQs_Feb_2016.pdf",
MARF_Definition,"MARF is the Multi-User Access Request Form used to request access to a large variety of roles. More information can be found in the Access FAQs at this link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/documents/User_Access_Request_FAQs_Feb_2016.pdf",
MARF_Usage,"MARF is the Multi-User Access Request Form used to request access to a large variety of roles. More information can be found in the Access FAQs at this link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/documents/User_Access_Request_FAQs_Feb_2016.pdf",
SRRF_Definintion,"This form is for Wave 1, Wave 2 and 2016 departments.",
SRRF_Usage,"This form is for Wave 1, Wave 2 and 2016 departments. ",
When_to_use_a_TECH736,The Tech736 form is for departments that were onboarded as part of the 2017 release.,
Difference_between_MARF_and_State-Wide_Procurement_MARF,"MARF is the Multi-User Access Request Form used to request access to a large variety of roles. The State-Wide Procurement MARF is for users that are only going to be purchasing in FI$Cal. More information can be found in the Access FAQs at this link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/documents/User_Access_Request_FAQs_Feb_2016.pdf",
Becoming_a_Department_Authority_or_Designee,"FI$Cal Departmental Authority and Designee (DAD) Form is used to add or remove a Department Authority or Designee (DAD). Forms to request access to FI$Cal can be found on our website at this link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/EndUserAccessForms.html",
Locating_Job_Aids,"Job aids can be found at this link:

http://www.fiscal.ca.gov/access-fiscal/job_aids.html",
Link_to_the_University_of_FI$Cal,"The link to the University of FI$Cal can be found though the following link:

http://www.fiscal.ca.gov/training-academy/index.html",
Completing_a_Class_in_the_University_of_FI$Cal,After you complete a class in the University of FI$Cal you must complete the survey to earn credit for the class. ,
Browser_Compatibility,"FI$Cal is designed to work with all web browsers however, the recommended browser is Internet Explorer.",
OTP_Code_Definition,"A ""One Time Password"" (OTP) code is an enhanced security measure for accessing FI$Cal. If you are prompted to enter an OTP, check your email ""inbox"" or your ""junk email"" for ""no-reply@fiscal.ca.gov"" - FI$Cal OTP Code",
SFTP_Approval,Your Departmental Authority/Designee (DAD) can approve and submit an SFTP form. ,
SFTP_Form_Submission,A SFTP request form must be submited by the Departmental Authority/Designee (DAD) requesting the change.,
Access_Forms,"Forms to request access to FI$Cal can be found on our website at this link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/EndUserAccessForms.html",
List_of_Roles,"A list of available roles in FI$Cal can be found at:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/documents/FISCalEnd-UserRoleDescriptionHandbook2.2.pdf",
Smart_View_Setup_,"Intent ID is correct but the link is not correct, it links to the access forms. Recommend removing this until the link can be found for assistance setting up Hyperion.",
FI$Cal_Service_Center_Hours,"The FI$Cal Service Center provides assistance Monday through Friday from 7:30 a.m. — 5:30 p.m., Pacific Time (except on State Holidays)
",
Fiscal_Service_Center_Phone_Number,"The Phone number for the FI$Cal Service Center is 855-347-2250

The FI$Cal Service Center provides assistance Monday through Friday from 7:30 a.m. — 5:30 p.m., Pacific Time (except on State Holidays)",
Whitelist_Definition,A whitelist is a list of approved websites that can be visited by users and where the viewed content is not blocked.,
Worklist_Notifications,"A Worklist notfication is an email notice to a specific user or users informing them that action is required within the system, for example, an approval.",
Self_Service_Ticket_Creation,"Information on how to create a Self Service ticket can be found at this link:

https://www.youtube.com/watch?v=FVqdYJkH9ZA.

Refer to the following link if you need assistance logging into ServiceNow for the first time:

https://www.youtube.com/watch?v=kSYBl8JMJHk",
RFC_Definition,"An RFC is a Request for Change form.  This form is used to make a request to change something in FI$Cal.  The form and instructions for filling it out can be found though the following link:

http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/",
Request_for_Change_Submission,A request for change must be submited by the Department Designee (DAD) requesting the change.,
Enhancement_Definition,An enhancement is a change to the system to add new functionality or change old functionality ,
Defect_Definition,A defect is something that is broken in the system or not working as intended. ,
SOD_Form_Definition,"An SOD is a Separation of Duties form. This form is used when a user is requesting roles that would otherwise conflict in FI$Cal such as, being a PO Buyer and PO Approver. Recommend removing this one until the policy and referenced document can be linked",
ADA_Compliance,FI$Cal is tested and approved for ADA compliance.,
Fiscal_Service_Center_Email_Address.,"The FI$Cal website, http://www.fiscal.ca.gov/resources/, contains a number of FAQs and Job Aids covering the most common topics users need help with. If you cannot find the answers you need there, the FI$Cal Service Center provides assistance Monday through Friday from 7:30 a.m. — 5:30 p.m., Pacific Time (except on State Holidays)

Phone: (855) FISCAL0 (347-2250) (Toll Free)
fiscalservicecenter@fiscal.ca.gov",
FI$Cal_Account_Active_Status,A FI$Cal account will remain active if a user logs in at least one time every 180 days.,
Department_Super-User,"To find a super user for your department please call or email the Change Management Office for information:
Email: fiscal.cmo@fiscal.ca.gov
Client Communications: (916) 576-1250",
FI$Cal_Forums,"Call or email the Change Management Office for information regarding FI$Cal forums:

Email: fiscal.cmo@fiscal.ca.gov
Client Communications: (916) 576-1250

Information about previous forums can be found though the following link:

http://www.fiscal.ca.gov/resources/fiscalforum.html",
Departments_using_FI$Cal,"Information about departments using FI$Cal can be found through this link:

http://www.fiscal.ca.gov/resources/Releases.html",
FI$Cal_Newsletter,"The Newsletter can be found at this link:

http://www.fiscal.ca.gov/resources/fiscalfocusnewsletters.html",
Statewide_Procurement_Training,"Statewide Procurement Training can be found on our website at this link:

http://www.fiscal.ca.gov/training-academy/future_release_training.html",
Chartfield_Definitions,"Information about chartfield definitions can be found though the following link:

http://www.fiscal.ca.gov/department_liaison_network_corner/documents/20140116_chartField_definitions.pdf",
Security_Image,"Your security image is based on your email address.  If you are not seeing your expected image, it means that you incorrectly entered your email address when trying to log in.",
Fiscal_General_Information,"For more information, training and other resources about FI$Cal visit our website at: www.fiscal.ca.gov.
For assistance you can email or call us at:
Email: fiscalservicecenter@fiscal.ca.gov
Phone:  855-347-2250",
Shipping_instruction_for_supplier_on_PO,"Please refer to FAQ# 9 - How do I enter shipping instructions to the vendors/suppliers? in this link:

http://fiscal.ca.gov/faqs/documents/Purchase_Order_FAQs_1.0.docx",
Encumbrance_only_PO_not_routed_for_approval_,"There are a few scenarios as to why ""Encumbrance Only"" POs are not being routed to the appropriate approvers. There are three route control criteria setups for the PO Approval workflow. These criteria are BU access, Acq. Type, and Reporting Structure.

Scenario #1: There are no department PO Approvers (1-4) setup for Acq. Type of Encumbrance Only.
Scenario #2: There are no department PO Approvers (1) setup for the Reporting Structure used on the PO line(s)
Scenario #3: The PO ID was created and submitted for approval prior to the correction completed to resolve scenario #1 and #2 above. If this was the case, then the approval process will need to be re-triggered for the impacted PO ID.
Scenario #4: The range in the Reporting Structure Profile are is not setup to include the reporting structure value used on the PO ID.

Note The Approvers for Encumbrance Only PO’s are typically Accounting personnel since Encumbrance Only orders tend to be for monthly utility bills and things of that nature.",
PO_paid_out_and_ready_to_be_closed,"Refer to FAQ#14 -How do I tell if a PO has been paid and ready to close out? in this link:

http://fiscal.ca.gov/faqs/documents/Purchase_Order_FAQs_1.0.docx",
Attach_supporting_documents_to_PO,"Please refer to FAQ#18 - 18. How do I attach the supporting and other required documents to my PO? Found in this link:

http://fiscal.ca.gov/faqs/documents/Purchase_Order_FAQs_1.0.docx",
Policy_for_entering_P-Card_PO,DGS Policy specifies that only the cardholder can create Requistions and POs using their P-Card as the payment method. ,
Need_to_remove_Procurement_card_payment_method_on_a_PO,"The Buyer of a PO will be able to select P-Card as the payment method prior to dispatching the PO. Once dispatched, the Buyer will need to cancel the PO and start over again if you want to remove the P-Card as the payment method.",
Criteria_for_creating_Encumbrance_only_PO,"The Acquisition Type ""Encumbrance Only"" should only be used to encumber the funds for the following transactions:

1. Court Orders/Settlements
2. Payroll Estimates
3. Workers Compensation Claims
4. Retirement Cash-Out/Payout
5. Debt Services
6. Travel /CalATERS
7. Grants (only grants that meet criteria specified in SCM Volume 1, Section 4.06)",
PO_copied_from_contract_has_$0_unit_price,"Please refer to FAQ# 25 - Why does my PO ID have $0.00 in the PO line unit price when I copied this PO from my procurement contract? in the link below for detail steps:

http://fiscal.ca.gov/faqs/documents/Purchase_Order_FAQs_1.0.docx

The PO line unit price is not editable because the checkboxes for Price can be Changed on Orders were not checked at the contract header and contract line on the associated contract which you copied this PO ID from.

NOTE: If these checkboxes were checked on the contract, the user will only be able to change the unit price up to the amount entered on the contract line base price. They will not be able to change to more than that base price amount.",
